1st Depth,2nd Depth,3rd Depth,경로,설명,기능/액션,필수 여부,비고
홈 화면,-,-,/,앱 진입점,환영 메시지 표시,필수,최상위 레벨
-,홈 화면,최근 강의 표시,/,이어서 학습하기 기능,최근 학습 단원 조회 → 표시,선택,
-,홈 화면,교재 선택 버튼,/,교재 선택 화면으로 이동,교재 선택 버튼 클릭 → /books 이동,필수,
-,홈 화면,과목별 바로가기,/,문학/영어/수학1 과목별 강의 목록으로 이동,과목 버튼 클릭 → 해당 과목 강의 목록 이동,선택,
-,홈 화면,관리자 페이지 버튼,/,관리자 페이지로 이동 (관리자 권한),관리자 버튼 클릭 → /admin 이동,선택,관리자 전용
-,교재 선택,-,/books,사용 가능한 교재 목록 표시 및 선택,교재 목록 조회,필수,
-,교재 선택,교재 목록 조회,/books,등록된 교재 목록 표시,API 호출 → 교재 목록 렌더링,필수,
-,교재 선택,과목별 필터링,/books,문학/영어/수학1 과목별 필터,필터 선택 → 목록 필터링,선택,
-,교재 선택,교재 선택,/books,교재 선택 및 강의 목록으로 이동,교재 클릭 → 강의 목록 화면으로 이동,필수,
-,교재 선택,교재 업로드,/books,PDF 교재 업로드 (관리자 권한),파일 선택 → 업로드 → 파싱 시작,선택,관리자 전용
-,강의 목록,-,/lectures/:bookId,선택한 교재의 강의 목록 표시,강의 목록 조회,필수,
-,강의 목록,강의 목록 조회,/lectures/:bookId,선택한 교재의 강의 목록 표시,API 호출 → 강의 목록 렌더링,필수,
-,강의 목록,강의 선택,/lectures/:bookId,강의 선택 및 단원 학습으로 이동,강의 클릭 → 첫 번째 단원으로 이동,필수,
-,강의 목록,학습 진도 표시,/lectures/:bookId,각 강의의 학습 완료 여부 표시,진도 데이터 조회 → 시각적 표시,선택,
-,단원 학습,-,/unit/:unitId,카드 스와이프 기반 단원 학습,단원 내용 표시,필수,
-,단원 학습,단원 내용 표시,/unit/:unitId,개념/본문/문제 내용 표시,단원 데이터 조회 → 카드 형태로 표시,필수,
-,단원 학습,카드 스와이프,/unit/:unitId,다음/이전 단원으로 이동,스와이프 제스처 → 단원 변경,필수,
-,단원 학습,점자 디스플레이 출력,/unit/:unitId,현재 단원 내용을 점자로 출력,텍스트 → 점자 변환 → BLE 전송,선택,
